"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","EKOLOGIN",2307,"111","Nakládání s odpadními vodami","Nakládání s odpadními vodami","2002-01-01","9999-09-09"
"CS","EKOLOGIN",2307,"112","Ochrana a sanace půdy, podzemních a povrchových vod","Ochrana a sanace půdy, podzemních a povrchových vod","2002-01-01","9999-09-09"
"CS","EKOLOGIN",2307,"113","Omezování hluku a vibrací (kromě ochrany pracovišť)","Omezování hluku a vibrací (kromě ochrany pracovišť)","2002-01-01","9999-09-09"
"CS","EKOLOGIN",2307,"114","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Ochrana krajiny a biodiverzity (druhová rozmanitost)","2002-01-01","9999-09-09"
"CS","EKOLOGIN",2307,"115","Ochrana proti záření","Ochrana proti záření","2002-01-01","9999-09-09"
"CS","EKOLOGIN",2307,"116","Výzkum a vývoj na ochranu životního prostředí","Výzkum a vývoj na ochranu životního prostředí","2002-01-01","9999-09-09"
"CS","EKOLOGIN",2307,"130","Ochrana ovzduší a klimatu","Ochrana ovzduší a klimatu","1995-01-01","9999-09-09"
"CS","EKOLOGIN",2307,"140","Nakládání s odpady","Nakládání s odpady","1995-01-01","9999-09-09"
"CS","EKOLOGIN",2307,"180","Ost.akt.na ochr.živ.pr.","Ostatní aktivity na ochranu životního prostředí","2002-01-01","9999-09-09"
"CS","EKOLOGIN",2307,"300","Energie z obnovitelných zdrojů","Energie z obnovitelných zdrojů","2024-01-01","9999-09-09"
"CS","EKOLOGIN",2307,"310","Úspory energie a řízení úspor energie","Úspory energie a řízení úspor energie","2024-01-01","9999-09-09"